matchID,season,battingTeam,bowlingTeam,innings,firstBatter,secondBatter,partnership,totalBallsFaced,fours,sixes,wicket,firstBatterRuns,firstBatterBallsFaced,firstBatterFours,firstBatterSixes,secondBatterRuns,secondBatterBallsFaced,secondBatterFours,secondBatterSixes
6480bb9516b0dbc1972e5c3c,2018,,,1,CA Lynn,N Rana,7,9,1,0,1,4,4,1,0,3,5,0,0
6480bb97dee20878b0c4246c,2021,,,1,RR Pant,SS Iyer,7,8,0,0,1,5,5,0,0,2,3,0,0
6480bb97c48a16e84b55a325,2020/21,,,1,D Padikkal,V Kohli,7,8,0,0,1,1,1,0,0,6,7,0,0
6480bb99b4febfb641fddd39,2023,,,1,TH David,Tilak Varma,7,10,0,0,1,4,7,0,0,2,3,0,0
6480bb9c5d0fccb6a3a6d37d,2009,,,2,AS Raut,SK Warne,7,4,0,1,1,6,3,0,1,1,1,0,0
6480bb9ff2e0b1df0c3972c9,2012,,,1,V Sehwag,Y Venugopal Rao,7,6,1,0,1,2,4,0,0,5,2,1,0
6480bb9c963968000dfd00d1,2009/10,,,1,PA Patel,S Badrinath,7,6,1,0,1,5,4,1,0,2,2,0,0
6480bb97f2f0fabec8f94d86,2020/21,,,1,N Rana,SP Narine,7,7,0,1,1,0,0,0,0,7,7,0,1
6480bb94c2dcb1007bf6788b,2017,,,2,AR Patel,MM Sharma,7,5,1,0,1,1,1,0,0,6,4,1,0
6480bb9e1d754facf4fad618,2012,,,2,B Kumar,M Kartik,7,5,0,0,0,1,2,0,0,4,3,0,0
6480bb99fe078839da40e7ab,2023,,,1,JJ Roy,N Rana,7,11,1,0,1,2,4,0,0,4,7,1,0
6480bb94bf9a1728b1b12f4d,2018,,,1,KS Williamson,MK Pandey,7,8,0,0,1,5,5,0,0,2,3,0,0
6480bba2f39653e2f61baca2,2015,,,2,JP Duminy,KM Jadhav,7,9,1,0,1,5,7,1,0,1,2,0,0
6480bba0adee98d459585bed,2014,,,2,AT Rayudu,MEK Hussey,7,14,0,0,1,4,10,0,0,3,4,0,0
6480bba07b5396a7b65684d3,2013,,,2,Iqbal Abdulla,SP Narine,7,10,0,0,1,1,4,0,0,3,6,0,0
6480bb9f87652064dab6c573,2013,,,2,DB Das,YK Pathan,7,7,1,0,1,1,3,0,0,6,4,1,0
6480bb9b5d0191a0a2611916,2009,,,2,GC Smith,SA Asnodkar,7,7,0,0,1,2,3,0,0,3,4,0,0
6480bb951677500061c85592,2019,,,1,Q de Kock,SA Yadav,7,8,1,0,1,0,0,0,0,7,8,1,0
6480bba15f6842352b6338ae,2014,,,2,MS Dhoni,SK Raina,7,6,1,0,1,6,3,1,0,1,3,0,0
6480bb9e1a26096ce68e9ca3,2012,,,1,R Dravid,SP Goswami,7,4,1,0,1,4,2,1,0,1,2,0,0
6480bb9d967f5a4cfbd8c74d,2011,,,1,M Morkel,Y Nagar,7,8,1,0,1,6,5,1,0,1,3,0,0
6480bba136257b71aa9952cf,2014,,,2,DA Miller,GJ Bailey,7,5,1,0,1,6,3,1,0,1,2,0,0
6480bb9eae43aed76989151b,2011,,,1,AB de Villiers,V Kohli,7,10,1,0,1,1,4,0,0,6,6,1,0
6480bba33195e5ebac1da82a,2016,,,1,RG Sharma,UBT Chand,7,12,1,0,1,6,8,1,0,0,4,0,0
6480bb94d8aa9021808a4760,2017,,,2,CA Lynn,RV Uthappa,7,3,0,1,1,6,2,0,1,1,1,0,0
6480bb964c4bea88164f168d,2020/21,,,2,JC Archer,TK Curran,7,5,0,1,1,6,4,0,1,1,1,0,0
6480bb96e2809aa0bc35c7e9,2019,,,2,Abhishek Sharma,MK Pandey,7,7,0,0,1,2,3,0,0,5,4,0,0
6480bb9e300070746cc2eb67,2011,,,2,SS Tiwary,V Kohli,7,10,0,0,1,2,6,0,0,4,4,0,0
6480bba0adee98d459585bed,2014,,,2,AP Tare,CJ Anderson,7,10,1,0,1,5,5,1,0,1,5,0,0
6480bba2557febf92f9f79ab,2015,,,1,DJ Bravo,F du Plessis,7,9,1,0,1,5,7,1,0,2,2,0,0
6480bb9c0dec1a788da66d33,2009/10,,,1,AA Jhunjhunwala,AC Voges,7,5,1,0,1,4,2,1,0,3,3,0,0
6480bb9f7bae5ad85c4473ba,2012,,,1,DR Smith,Harbhajan Singh,7,3,0,1,1,7,2,0,1,0,1,0,0
6480bba2a01f4062fc561247,2016,,,1,MM Sharma,SE Marsh,7,6,1,0,1,1,3,0,0,6,3,1,0
6480bb982f070b023b901b3e,2021,,,1,JJ Bumrah,KH Pandya,7,4,0,1,0,1,1,0,0,6,3,0,1
6480bba1ebb63d1bd8c60b9d,2014,,,1,DA Miller,GJ Bailey,7,3,0,1,0,6,2,0,1,1,1,0,0
6480bb966c197bad273f91f1,2020/21,,,2,JC Buttler,SPD Smith,7,8,1,0,1,1,1,0,0,6,7,1,0
6480bb9429a15517bb46f3be,2018,,,1,A Dananjaya,M Markande,7,5,0,0,0,2,2,0,0,4,3,0,0
6480bb9ba6cd609c32579bde,2009,,,1,AB Agarkar,WP Saha,7,3,1,0,0,0,0,0,0,7,3,1,0
6480bb966539f85263cb6429,2019,,,2,A Mishra,J Suchith,7,20,0,0,1,2,6,0,0,5,14,0,0
6480bb945460b25d997060fb,2018,,,1,CA Lynn,SP Narine,7,15,0,1,1,6,11,0,1,1,4,0,0
6480bb9c2778066dafd78a71,2009/10,,,1,JA Morkel,R Ashwin,7,3,0,1,1,7,2,0,1,0,1,0,0
6480bb95f214d4f82ab97ee5,2018,,,1,BA Stokes,K Gowtham,7,11,0,0,1,4,6,0,0,3,5,0,0
6480bb9c266a85f1960d87e9,2009,,,1,DL Vettori,KD Karthik,7,6,0,0,1,1,2,0,0,6,4,0,0
6480bb9448fe25ec89c5fcff,2017,,,1,LMP Simmons,N Rana,7,5,1,0,1,2,3,0,0,5,2,1,0
6480bb9e156723e64d6bd26b,2012,,,1,PA Patel,S Dhawan,7,10,1,0,1,1,5,0,0,6,5,1,0
6480bb9cf1471ad233c7b0af,2009,,,2,GC Smith,RJ Quiney,7,11,1,0,1,0,4,0,0,5,7,1,0
6480bb979e91d1ff9b54c737,2020/21,,,1,K Rabada,SS Iyer,7,4,0,1,1,0,0,0,0,7,4,0,1
6480bb9ef8d4c23c6e5be4c7,2011,,,2,RA Jadeja,RR Powar,7,6,0,0,1,1,2,0,0,6,4,0,0
6480bb9e156723e64d6bd26b,2012,,,2,RE Levi,TL Suman,7,11,1,0,1,2,2,0,0,5,9,1,0
6480bb9b9dd7fe8c5cbdbab0,2009,,,1,JA Morkel,MS Gony,7,3,0,1,1,0,1,0,0,6,2,0,1
6480bb9c121ee402b7b2eda6,2009,,,1,JH Kallis,MK Pandey,7,12,0,0,1,5,7,0,0,2,5,0,0
6480bb9825eb960aded1ff64,2022,,,1,RD Gaikwad,S Dube,7,11,0,0,1,4,4,0,0,3,7,0,0
6480bb94cf431881ac3e9cbf,2018,,,1,G Gambhir,JJ Roy,7,14,0,0,1,3,10,0,0,3,4,0,0
6480bb97b97c36ac8be3582f,2021,,,2,JO Holder,V Shankar,7,7,0,0,1,4,4,0,0,2,3,0,0
6480bb9ca21b98f1be8254e2,2009/10,,,1,KD Karthik,PD Collingwood,7,5,1,0,1,6,4,1,0,1,1,0,0
6480bb964592640608a9163c,2020/21,,,2,BA Stokes,JC Buttler,7,8,1,0,1,5,6,1,0,2,2,0,0
6480bba1b8e3071cc513602a,2014,,,1,JP Faulkner,R Bhatia,7,9,0,0,1,4,6,0,0,3,3,0,0
6480bb9b9614f21d90333e15,2007/08,,,2,D Salunkhe,M Rawat,7,5,1,0,1,6,3,1,0,0,2,0,0
6480bba0f1ebf9ff255e1c91,2013,,,1,AM Rahane,R Dravid,7,15,1,0,1,1,9,0,0,6,6,1,0
6480bb98cce4ab46512c2c03,2022,,,2,MK Pandey,Q de Kock,7,6,0,0,1,5,6,0,0,0,0,0,0
6480bb9a7577454a5220c94b,2007/08,,,2,M Rawat,Sohail Tanvir,7,6,1,0,1,1,2,0,0,6,4,1,0
6480bba01a3f8444c7a33ba6,2014,,,1,SR Watson,SV Samson,7,8,0,1,1,7,6,0,1,0,2,0,0
6480bb9d5cca30c933d4baf4,2011,,,2,DH Yagnik,SK Warne,7,5,1,0,0,2,2,0,0,5,3,1,0
6480bb9d716a89dbf5e486d0,2011,,,2,DA Warner,UBT Chand,7,14,0,0,1,4,4,0,0,2,10,0,0
6480bb9ce93a7b4315d8fa30,2009,,,1,AC Gilchrist,RG Sharma,7,9,1,0,1,1,2,0,0,6,7,1,0
6480bba373508e4f3f4be6c0,2016,,,2,GJ Bailey,IK Pathan,7,5,0,0,1,4,3,0,0,1,2,0,0
6480bb9e93f969bcc8a79433,2011,,,2,MEK Hussey,SK Raina,7,11,0,0,1,1,2,0,0,4,9,0,0
6480bb9f00ef088221497043,2013,,,1,MK Tiwary,R Bhatia,7,9,0,0,1,5,5,0,0,1,4,0,0
6480bba000b91f6c5cf57fdb,2013,,,2,BJ Hodge,JP Faulkner,7,4,0,1,1,1,1,0,0,6,3,0,1
6480bb95f214d4f82ab97ee5,2018,,,1,Anureet Singh,JD Unadkat,7,9,0,0,1,3,4,0,0,3,5,0,0
6480bb95014388d3e8c62904,2019,,,1,TG Southee,YS Chahal,7,6,0,0,0,6,5,0,0,1,1,0,0
6480bb9a6ecee5429e0468be,2023,,,1,KS Sharma,MP Stoinis,7,6,1,0,1,1,2,0,0,6,4,1,0
6480bb970d7cbd85b6ada680,2021,,,2,AB de Villiers,RM Patidar,7,11,0,0,1,3,9,0,0,2,2,0,0
6480bb99409885bcc7b67109,2023,,,1,SO Hetmyer,YBK Jaiswal,7,4,1,0,1,3,2,0,0,4,2,1,0
6480bb9825eb960aded1ff64,2022,,,1,RD Gaikwad,RV Uthappa,7,14,0,0,1,2,4,0,0,3,10,0,0
6480bb9f68a0a232d83c338c,2012,,,2,AT Rayudu,DR Smith,7,6,1,0,1,1,1,0,0,6,5,1,0
6480bb9e335bec070f88430f,2011,,,2,M Vijay,MEK Hussey,7,13,0,0,1,2,6,0,0,4,7,0,0
6480bb9bee2e48d9c41b1e23,2009,,,2,TL Suman,Y Venugopal Rao,7,10,0,0,1,3,5,0,0,2,5,0,0
6480bb9d1f9a3cf1fa86e11c,2011,,,1,B Chipli,DT Christian,7,4,1,0,1,7,3,1,0,0,1,0,0
6480bba1ff55936e203ca5a6,2014,,,1,GJ Bailey,R Dhawan,7,10,0,0,1,3,4,0,0,4,6,0,0
6480bb9aa37f3b44678752d9,2023,,,2,A Manohar,DA Miller,7,6,1,0,1,2,3,0,0,5,3,1,0
