matchID,season,battingTeam,bowlingTeam,over,ballNo,innings,bowler,playerOut,outType,fieldersInvolved
648026d399293ff15905c238,2017,Rising Pune Supergiant,Delhi Daredevils,13,1,1,A Mishra,R Bhatia,caught,"[""CH Morris""]"
648026d399293ff15905c238,2017,Rising Pune Supergiant,Delhi Daredevils,14,1,1,Z Khan,DL Chahar,caught,"[""RR Pant""]"
648026d399293ff15905c238,2017,Rising Pune Supergiant,Delhi Daredevils,15,3,1,A Mishra,A Zampa,caught,"[""SV Samson""]"
648026d399293ff15905c238,2017,Rising Pune Supergiant,Delhi Daredevils,16,1,1,PJ Cummins,AB Dinda,caught,"[""A Mishra""]"
648026d3349e84b29ad00c63,2017,Sunrisers Hyderabad,Mumbai Indians,10,2,2,Harbhajan Singh,DA Warner,caught,"[""PA Patel""]"
648026d3349e84b29ad00c63,2017,Sunrisers Hyderabad,Mumbai Indians,13,1,2,Harbhajan Singh,DJ Hooda,caught,"[""KA Pollard""]"
648026d3349e84b29ad00c63,2017,Sunrisers Hyderabad,Mumbai Indians,14,5,2,MJ McClenaghan,S Dhawan,bowled,
648026d3349e84b29ad00c63,2017,Sunrisers Hyderabad,Mumbai Indians,15,4,2,HH Pandya,Yuvraj Singh,bowled,
648026d3349e84b29ad00c63,2017,Sunrisers Hyderabad,Mumbai Indians,17,4,2,JJ Bumrah,BCJ Cutting,bowled,
648026d3349e84b29ad00c63,2017,Sunrisers Hyderabad,Mumbai Indians,18,1,2,SL Malinga,V Shankar,caught,"[""N Rana""]"
648026d3349e84b29ad00c63,2017,Sunrisers Hyderabad,Mumbai Indians,19,1,2,JJ Bumrah,NV Ojha,caught,"[""KA Pollard""]"
648026d3349e84b29ad00c63,2017,Sunrisers Hyderabad,Mumbai Indians,19,4,2,JJ Bumrah,Rashid Khan,caught and bowled,
648026d3349e84b29ad00c63,2017,Mumbai Indians,Sunrisers Hyderabad,3,1,1,A Nehra,JC Buttler,bowled,
648026d3349e84b29ad00c63,2017,Mumbai Indians,Sunrisers Hyderabad,4,5,1,Rashid Khan,RG Sharma,lbw,
648026d3349e84b29ad00c63,2017,Mumbai Indians,Sunrisers Hyderabad,9,4,1,DJ Hooda,PA Patel,caught,"[""B Kumar""]"
648026d3349e84b29ad00c63,2017,Mumbai Indians,Sunrisers Hyderabad,13,4,1,B Kumar,KA Pollard,caught,"[""S Dhawan""]"
648026d3349e84b29ad00c63,2017,Mumbai Indians,Sunrisers Hyderabad,17,1,1,B Kumar,KH Pandya,caught,"[""BCJ Cutting""]"
648026d3349e84b29ad00c63,2017,Mumbai Indians,Sunrisers Hyderabad,17,6,1,B Kumar,N Rana,bowled,
648026d4959d4276e7b45344,2017,Kings XI Punjab,Kolkata Knight Riders,5,1,2,PP Chawla,M Vohra,bowled,
648026d4959d4276e7b45344,2017,Kings XI Punjab,Kolkata Knight Riders,7,4,2,SP Narine,MP Stoinis,bowled,
648026d4959d4276e7b45344,2017,Kings XI Punjab,Kolkata Knight Riders,11,4,2,C de Grandhomme,HM Amla,caught,"[""G Gambhir""]"
648026d4959d4276e7b45344,2017,Kings XI Punjab,Kolkata Knight Riders,12,1,2,UT Yadav,GJ Maxwell,caught,"[""RV Uthappa""]"
648026d4959d4276e7b45344,2017,Kings XI Punjab,Kolkata Knight Riders,17,3,2,UT Yadav,DA Miller,caught,"[""MK Pandey""]"
648026d4959d4276e7b45344,2017,Kings XI Punjab,Kolkata Knight Riders,17,4,2,UT Yadav,WP Saha,caught,"[""CR Woakes""]"
648026d4959d4276e7b45344,2017,Kings XI Punjab,Kolkata Knight Riders,17,6,2,UT Yadav,AR Patel,caught,"[""SP Narine""]"
648026d4959d4276e7b45344,2017,Kings XI Punjab,Kolkata Knight Riders,19,5,2,CR Woakes,MM Sharma,caught,"[""SA Yadav""]"
648026d4959d4276e7b45344,2017,Kings XI Punjab,Kolkata Knight Riders,19,7,2,CR Woakes,VR Aaron,caught,"[""G Gambhir""]"
648026d4959d4276e7b45344,2017,Kolkata Knight Riders,Kings XI Punjab,5,4,1,VR Aaron,SP Narine,caught,"[""AR Patel""]"
648026d4959d4276e7b45344,2017,Kolkata Knight Riders,Kings XI Punjab,9,6,1,AR Patel,RV Uthappa,bowled,
648026d4ca5df5a522c5ccc2,2017,Royal Challengers Bangalore,Mumbai Indians,9,2,1,HH Pandya,CH Gayle,caught,"[""PA Patel""]"
648026d4ca5df5a522c5ccc2,2017,Royal Challengers Bangalore,Mumbai Indians,15,3,1,MJ McClenaghan,V Kohli,caught,"[""JC Buttler""]"
648026d4ca5df5a522c5ccc2,2017,Royal Challengers Bangalore,Mumbai Indians,16,2,1,KH Pandya,AB de Villiers,caught,"[""RG Sharma""]"
648026d4ca5df5a522c5ccc2,2017,Royal Challengers Bangalore,Mumbai Indians,17,7,1,JJ Bumrah,KM Jadhav,run out,"[""JJ Bumrah""]"
648026d4ca5df5a522c5ccc2,2017,Royal Challengers Bangalore,Mumbai Indians,18,1,1,MJ McClenaghan,Mandeep Singh,bowled,
648026d4ca5df5a522c5ccc2,2017,Mumbai Indians,Royal Challengers Bangalore,1,5,2,STR Binny,JC Buttler,caught,"[""CH Gayle""]"
648026d4ca5df5a522c5ccc2,2017,Mumbai Indians,Royal Challengers Bangalore,2,2,2,S Badree,PA Patel,caught,"[""CH Gayle""]"
648026d4ca5df5a522c5ccc2,2017,Mumbai Indians,Royal Challengers Bangalore,2,3,2,S Badree,MJ McClenaghan,caught,"[""Mandeep Singh""]"
648026d4ca5df5a522c5ccc2,2017,Mumbai Indians,Royal Challengers Bangalore,2,4,2,S Badree,RG Sharma,bowled,
648026d4ca5df5a522c5ccc2,2017,Mumbai Indians,Royal Challengers Bangalore,7,6,2,S Badree,N Rana,caught,"[""S Aravind""]"
648026d4ca5df5a522c5ccc2,2017,Mumbai Indians,Royal Challengers Bangalore,17,3,2,YS Chahal,KA Pollard,caught,"[""AB de Villiers""]"
648026d414ae454664015c03,2017,Rising Pune Supergiant,Gujarat Lions,0,3,2,P Kumar,AM Rahane,caught,"[""SK Raina""]"
648026d414ae454664015c03,2017,Rising Pune Supergiant,Gujarat Lions,5,5,2,AJ Tye,RA Tripathi,caught,"[""AJ Finch""]"
648026d414ae454664015c03,2017,Rising Pune Supergiant,Gujarat Lions,9,2,2,DR Smith,SPD Smith,caught,"[""AJ Finch""]"
648026d414ae454664015c03,2017,Rising Pune Supergiant,Gujarat Lions,12,1,2,AJ Tye,BA Stokes,bowled,
648026d414ae454664015c03,2017,Rising Pune Supergiant,Gujarat Lions,14,2,2,RA Jadeja,MS Dhoni,lbw,
648026d414ae454664015c03,2017,Rising Pune Supergiant,Gujarat Lions,19,1,2,AJ Tye,Ankit Sharma,caught,"[""BB McCullum""]"
648026d414ae454664015c03,2017,Rising Pune Supergiant,Gujarat Lions,19,2,2,AJ Tye,MK Tiwary,caught,"[""Ishan Kishan""]"
648026d414ae454664015c03,2017,Rising Pune Supergiant,Gujarat Lions,19,3,2,AJ Tye,SN Thakur,bowled,
648026d414ae454664015c03,2017,Gujarat Lions,Rising Pune Supergiant,8,6,1,SN Thakur,DR Smith,caught,"[""RD Chahar""]"
648026d414ae454664015c03,2017,Gujarat Lions,Rising Pune Supergiant,11,1,1,RD Chahar,BB McCullum,stumped,"[""MS Dhoni""]"
648026d414ae454664015c03,2017,Gujarat Lions,Rising Pune Supergiant,12,5,1,Imran Tahir,KD Karthik,bowled,
648026d41f06877f0c983e3a,2017,Kolkata Knight Riders,Sunrisers Hyderabad,2,2,1,B Kumar,SP Narine,bowled,
648026d41f06877f0c983e3a,2017,Kolkata Knight Riders,Sunrisers Hyderabad,5,4,1,Rashid Khan,G Gambhir,bowled,
648026d41f06877f0c983e3a,2017,Kolkata Knight Riders,Sunrisers Hyderabad,14,2,1,BCJ Cutting,RV Uthappa,caught,"[""Rashid Khan""]"
648026d41f06877f0c983e3a,2017,Kolkata Knight Riders,Sunrisers Hyderabad,17,4,1,B Kumar,MK Pandey,caught,"[""DA Warner""]"
648026d41f06877f0c983e3a,2017,Kolkata Knight Riders,Sunrisers Hyderabad,18,7,1,A Nehra,SA Yadav,caught,"[""NV Ojha""]"
