matchID,matchNumber,season,matchStartDate,city,tossWon,tossDecision,isSuperOver,team1,team2,teamWon,wonByWickets,wonByRuns,playerOfMatch,team1Score,team1Wickets,team1Fours,team1Sixes,team1Extras,team2Score,team2Wickets,team2Fours,team2Sixes,team2Extras
648026de89c1602d1f9ef303,3,2012,2012-04-06,Mumbai,Mumbai Indians,field,0,Mumbai Indians,Pune Warriors,Pune Warriors,,28,SPD Smith,129,9,11,1,8,101,9,8,1,5
648026ded419f9e45affcec4,4,2012,2012-04-06,Jaipur,Kings XI Punjab,field,0,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,,31,AM Rahane,191,4,23,3,19,160,9,14,4,6
648026de6af30099e78148fe,5,2012,2012-04-07,Bangalore,Delhi Capitals,field,0,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,,20,AB de Villiers,157,8,14,5,6,137,7,13,2,4
648026de1863f6312b973c45,6,2012,2012-04-07,Visakhapatnam,Deccan Chargers,field,0,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,,74,RA Jadeja,193,6,10,12,11,119,10,11,4,4
648026dedae4c49462978521,7,2012,2012-04-08,Jaipur,Kolkata Knight Riders,field,0,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,,22,BJ Hodge,164,5,13,6,3,142,10,10,5,7
648026de02874eb7bc8b6c08,8,2012,2012-04-08,Pune,Pune Warriors,bat,0,Pune Warriors,Kings XI Punjab,Pune Warriors,,22,MN Samuels,166,6,10,8,12,144,8,11,4,11
648026dec57d21a57911b300,9,2012,2012-04-09,Visakhapatnam,Deccan Chargers,bat,0,Deccan Chargers,Mumbai Indians,Mumbai Indians,5,,RG Sharma,138,9,6,8,5,142,5,8,8,4
648026de8f3f801c7895a884,10,2012,2012-04-10,Bangalore,Royal Challengers Bangalore,field,0,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,,42,L Balaji,165,8,15,6,6,123,9,8,3,10
648026de900ac11bcf6462c1,11,2012,2012-04-10,Delhi,Delhi Capitals,field,0,Delhi Capitals,Chennai Super Kings,Delhi Capitals,8,,M Morkel,110,8,7,3,6,111,2,11,3,1
648026de3bfd3cb75b0ec433,12,2012,2012-04-11,Mumbai,Rajasthan Royals,field,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,,27,KA Pollard,197,6,14,12,6,170,10,12,10,4
648026deabad2f510fcd5043,13,2012,2012-04-12,Chennai,Royal Challengers Bangalore,bat,0,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,5,,F du Plessis,205,8,14,12,16,208,5,15,11,5
648026de84a2b9f998a65032,14,2012,2012-04-12,Chandigarh,Kings XI Punjab,field,0,Kings XI Punjab,Pune Warriors,Kings XI Punjab,7,,AD Mascarenhas,115,10,10,2,12,116,3,14,1,0
648026de5d6cb34f9601e5cb,15,2012,2012-04-13,Kolkata,Rajasthan Royals,bat,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,5,,Shakib Al Hasan,131,5,13,2,10,137,5,11,3,12
648026de601afc8436c9fbc2,23,2012,2012-04-19,Delhi,Deccan Chargers,bat,0,Delhi Capitals,Deccan Chargers,Delhi Capitals,5,,KP Pietersen,157,8,15,3,6,162,5,12,9,4
648026de0941a92349fcac89,16,2012,2012-04-14,Pune,Chennai Super Kings,bat,0,Pune Warriors,Chennai Super Kings,Pune Warriors,7,,JD Ryder,155,5,13,4,6,156,3,12,5,5
648026de8eac64c74f91a19b,17,2012,2012-04-15,Kolkata,Kolkata Knight Riders,field,0,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,,2,SP Narine,134,9,7,5,7,132,7,10,2,9
648026de620cc43c9871ce00,18,2012,2012-04-15,Bangalore,Rajasthan Royals,bat,0,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,,59,AM Rahane,195,2,19,10,6,136,10,10,5,3
648026de9e574c4788956b46,19,2012,2012-04-16,Mumbai,Delhi Capitals,field,0,Mumbai Indians,Delhi Capitals,Delhi Capitals,7,,S Nadeem,92,10,10,1,9,93,3,7,1,11
648026decd6d9f0e9c2252b2,20,2012,2012-04-17,Jaipur,Deccan Chargers,bat,0,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,5,,BJ Hodge,196,2,18,7,13,197,5,22,6,6
648026de9583462f121f6162,21,2012,2012-04-17,Bangalore,Pune Warriors,bat,0,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,6,,CH Gayle,182,6,15,7,7,186,4,8,14,7
648026de4d5e3d275c4b9c60,22,2012,2012-04-18,Chandigarh,Kings XI Punjab,bat,0,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,8,,G Gambhir,124,7,9,1,3,127,2,12,3,5
648026dee8e33487fa122467,55,2012,2012-05-10,Hyderabad,Deccan Chargers,bat,0,Deccan Chargers,Delhi Capitals,Delhi Capitals,9,,DA Warner,187,4,23,7,2,193,1,13,12,16
648026de6b1001aac67cae10,24,2012,2012-04-19,Chennai,Pune Warriors,field,0,Chennai Super Kings,Pune Warriors,Chennai Super Kings,,13,KMDN Kulasekara,164,5,15,5,2,151,7,11,2,15
