matchID,playerID,player,team
6480217c67a701e72ef5361b,4885bbe6,Yudhvir Singh,Lucknow Super Giants
6480217fc3115e289e993774,890946a0,NV Ojha,Rajasthan Royals
648021832b273c718cad1a6a,99d63244,KM Jadhav,Delhi Daredevils
64802178d6c118997546e971,94253925,GH Vihari,Delhi Capitals
6480217d007fd84e07b1a2c8,2e171977,AR Patel,Delhi Capitals
64802183724ad68d1ddb96ea,372455c4,Q de Kock,Delhi Daredevils
648021795beb76e5f9292884,df064e1a,Ravi Bishnoi,Kings XI Punjab
6480217dbd1a07acd6b6f06a,12314277,Arshad Khan,Mumbai Indians
6480217bc7c38e587e87ff07,2f9d0389,LH Ferguson,Gujarat Titans
6480217dcf734202f2a34efb,5f547c8b,Rashid Khan,Gujarat Titans
6480217d9c2a524cb2f09f25,b4b99816,Shubman Gill,Gujarat Titans
6480217fbecdb30ec75feef6,709b0bac,SS Tiwary,Mumbai Indians
6480217a824dfd5d521ccbeb,30a45b23,SPD Smith,Delhi Capitals
648021816b74a92680db1c2f,2a2e6343,DT Christian,Deccan Chargers
648021830327b3ec6003253b,dcce6f09,DA Warner,Sunrisers Hyderabad
6480217a0cf2012d90c622c4,0a476045,S Dhawan,Delhi Capitals
64802183cb35e73810591444,dcce6f09,DA Warner,Delhi Daredevils
64802184f0df75045843b164,d67d5f00,DA Miller,Kings XI Punjab
6480217e2c8b06fef71e15f1,c3d35165,JA Morkel,Chennai Super Kings
6480217c4531cb80ccb9a5f7,48a1d7b7,SO Hetmyer,Rajasthan Royals
64802184713ef5ce60db187a,b8a55852,BB McCullum,Chennai Super Kings
648021851b1ed1be85f55b87,c03e2850,M Vohra,Kings XI Punjab
64802180d16e5bc3d7c978bd,5fa06777,IK Pathan,Delhi Daredevils
6480217def79346cfa498171,119678fd,KV Sharma,Royal Challengers Bangalore
6480217a08bcc3b3d039bf91,77255a9e,RA Tripathi,Kolkata Knight Riders
648021799fcc18fe62fada73,ded9240e,PJ Cummins,Kolkata Knight Riders
648021775aace160f88c6f0d,51a3c5ef,MJ McClenaghan,Mumbai Indians
64802177691e6bb063f3d0e4,0a476045,S Dhawan,Sunrisers Hyderabad
6480217a80638c27b8c12254,d2a6c0e6,EJG Morgan,Kolkata Knight Riders
6480217af395b081aeaa4665,23eeb873,DL Chahar,Chennai Super Kings
648021783cc06088ffd6eb18,93b4fc78,MK Pandey,Sunrisers Hyderabad
6480217d9c2a524cb2f09f25,9061a703,J Little,Gujarat Titans
6480217fbe33a337b95d5947,3d7e087f,SK Trivedi,Rajasthan Royals
64802180a5b1cbd2714ead20,740742ef,RG Sharma,Mumbai Indians
6480217f3536ce82b755cb4a,b8a55852,BB McCullum,Kolkata Knight Riders
6480217ab3489b27e961424a,db584dad,CH Gayle,Punjab Kings
64802177efca1290be75f401,87e562a9,DJ Bravo,Chennai Super Kings
6480217e7871fd56bd3176cf,e249fdaa,A Chopra,Kolkata Knight Riders
6480217f31d0d9b088a69216,6b19d823,A Mishra,Delhi Daredevils
64802180211bc40c440ceece,3c6ffae8,YK Pathan,Kolkata Knight Riders
6480217ce56e4cecb8ca1122,c38d3503,Shivam Mavi,Kolkata Knight Riders
648021844ef810979a80f0bc,dcf81436,S Kaul,Delhi Daredevils
64802178724910df594dc62b,9d430b40,SP Narine,Kolkata Knight Riders
64802179e6d8b246a396a60d,df064e1a,Ravi Bishnoi,Kings XI Punjab
6480217af749b241c054d31b,29e95537,AM Rahane,Delhi Capitals
6480217bbe0c152cd33795a4,2e81a32d,B Kumar,Sunrisers Hyderabad
6480217bcc59998707365da9,11614d87,D Pretorius,Chennai Super Kings
6480217ce98e48cd9ebf26d6,d9273ee7,MP Stoinis,Lucknow Super Giants
6480217f5966d35b611e77f0,c03f1114,KD Karthik,Delhi Daredevils
6480217cc651616b377e4d93,44aac2f0,Arjun Tendulkar,Mumbai Indians
6480217f8b7724eca977cd26,1c914163,Yuvraj Singh,Kings XI Punjab
6480218445e95582e7b86675,4b57e452,M Vijay,Kings XI Punjab
6480217af749b241c054d31b,ed5a5510,P Dubey,Delhi Capitals
6480217e91e249021f72a0b7,5f4e9e8f,RR Raje,Mumbai Indians
6480217c66293881112f2a38,df064e1a,Ravi Bishnoi,Lucknow Super Giants
6480217fc3115e289e993774,bb345e0b,G Gambhir,Delhi Daredevils
6480218393f5bdd2a8499fb6,5fa06777,IK Pathan,Delhi Daredevils
6480217a78cd3a23a56e5477,1dc12ab9,SK Raina,Chennai Super Kings
64802180c2c7e39c4c9c9ce9,91ffa6c6,JD Ryder,Pune Warriors
6480217acfce7470316d7621,709b0bac,SS Tiwary,Mumbai Indians
6480218462e6a1d0a3f6f8ec,271f83cd,SA Yadav,Kolkata Knight Riders
64802181f57fd64985b19799,b2b50355,L Balaji,Kolkata Knight Riders
648021802d1ab19a0c351fd8,c03f1114,KD Karthik,Kings XI Punjab
6480217ffd9319cf9e9baf6f,4a8a2e3b,MS Dhoni,Chennai Super Kings
64802180ab8aff08c8bd8f80,25eeb281,PC Valthaty,Kings XI Punjab
6480217aaa66404df524b792,1c17e270,RV Uthappa,Rajasthan Royals
648021829b7859b01c7055cb,8b5b6769,Harbhajan Singh,Mumbai Indians
6480218474ac1eabe9e57a83,557153ca,KK Cooper,Rajasthan Royals
648021795d5f79c468209bf0,bbd41817,AD Russell,Kolkata Knight Riders
6480217947d93c91924b5db3,39a2dfa8,R Tewatia,Rajasthan Royals
64802186790083d6fafa73ce,1c914163,Yuvraj Singh,Sunrisers Hyderabad
64802178a7d90c2e12617f4a,a9fd84fb,M Markande,Mumbai Indians
64802178d86d792387230677,fb2d1dda,N Rana,Kolkata Knight Riders
64802184bc72ad584fcf672b,bbd41817,AD Russell,Kolkata Knight Riders
6480217f3710000612f5f19f,6c6591ab,PP Ojha,Deccan Chargers
6480217a50288367a929f3e8,1e66c162,JD Unadkat,Rajasthan Royals
6480217eaee80fc86bcd8693,ae78bc32,MS Gony,Chennai Super Kings
64802181fc2945d4bc30443d,3576e47e,S Badrinath,Chennai Super Kings
64802184979dceea46f0311b,8abdf100,CJ Anderson,Mumbai Indians
64802185bee4b05980748bca,a4cc73aa,SV Samson,Delhi Daredevils
6480217d959f015b7dbdbb29,d0513f63,CL White,Royal Challengers Bangalore
64802177464d96e09ea94314,0a476045,S Dhawan,Sunrisers Hyderabad
6480217d866ffef64d990199,6a26221c,AK Markram,Sunrisers Hyderabad
64802178ef1651fa4c9c412d,f986ca1a,HV Patel,Delhi Daredevils
6480217d9c2a524cb2f09f25,d67d5f00,DA Miller,Gujarat Titans
648021804ef0aad14e49dadd,45c2196c,DE Bollinger,Chennai Super Kings
64802184188b21fb1b5b3940,1c17e270,RV Uthappa,Kolkata Knight Riders
6480217e5a445f8b7b4d84e7,b1451597,LR Shukla,Kolkata Knight Riders
6480217f5966d35b611e77f0,72861603,GC Smith,Rajasthan Royals
648021802d1ab19a0c351fd8,fd835ab3,DJ Hussey,Kings XI Punjab
6480217d1a4d4abdc3b0befa,244048f6,Arshdeep Singh,Punjab Kings
64802177ae5e39f8d4155e8f,462411b3,JJ Bumrah,Mumbai Indians
6480217e3256ded2347fb075,6b71e6cf,KC Sangakkara,Kings XI Punjab
64802179aeb29f6e2b85aa4e,90de905a,K Gowtham,Rajasthan Royals
6480217fd43b9990cb6f35ee,709b0bac,SS Tiwary,Mumbai Indians
64802180c72ff45f76bb1a0d,1c914163,Yuvraj Singh,Pune Warriors
64802184765752396c0690ba,ce820073,Sandeep Sharma,Kings XI Punjab
64802184f0df75045843b164,5056011d,GJ Bailey,Kings XI Punjab
648021852e0222571617e71c,8cf9814c,Mohammed Shami,Delhi Daredevils
6480217f3799acd96ce8c6af,d18f9182,DPMD Jayawardene,Kings XI Punjab
6480217accda3c0cf9a85c63,ba607b88,V Kohli,Royal Challengers Bangalore
6480217bcfb3eea51341ff8e,b8d490fd,AJ Finch,Kolkata Knight Riders
648021765f30697413b4f5f8,26e5cabf,MK Tiwary,Rising Pune Supergiant
6480217d6455f2bb5c76f456,fdedb37c,SM Katich,Kings XI Punjab
6480217ef0cdc28aa8f1e5b4,b8a55852,BB McCullum,Kolkata Knight Riders
64802179bb97fd7c462b3efd,a757b0d8,KA Pollard,Mumbai Indians
6480217f53bed4f8b2ab6bf3,45c2196c,DE Bollinger,Chennai Super Kings
6480217a718879750cb4132f,ac5ae4af,I Udana,Royal Challengers Bangalore
6480217d3eff460ea2412c25,77255a9e,RA Tripathi,Sunrisers Hyderabad
6480218099a0f320d079c2e4,4180d897,JE Taylor,Pune Warriors
64802180de0b9e475f14bbc2,6afb26d6,MD Mishra,Deccan Chargers
6480218175f9d80ce6ed1018,a12e1d51,SL Malinga,Mumbai Indians
64802181e5ad494ea055215b,8ba8195d,V Sehwag,Delhi Daredevils
64802177ae5e39f8d4155e8f,752f7486,Ishan Kishan,Mumbai Indians
648021810b638cdf30862f8f,3d7e087f,SK Trivedi,Rajasthan Royals
64802177ae5e39f8d4155e8f,0ebfb1ad,E Lewis,Mumbai Indians
64802181edd1625e856c9f61,11df3dc8,MJ Lumb,Deccan Chargers
648021846a1749d81d0a4b35,4125d931,J Suchith,Mumbai Indians
64802185407cd507ab4ccc1e,aa8d28ae,D Wiese,Royal Challengers Bangalore
6480217d959f015b7dbdbb29,fe763256,Y Venugopal Rao,Deccan Chargers
648021855c44675e1f9c5c29,495d42a5,R Ashwin,Chennai Super Kings
6480217a11b804960f3d99b0,56ab442f,NM Coulter-Nile,Mumbai Indians
6480217aeae4585b194b5ad1,a2f46292,KK Ahmed,Sunrisers Hyderabad
6480217d7ecd0b129615d014,facb9086,SD Chitnis,Mumbai Indians
64802180de0b9e475f14bbc2,95a2ea61,S Anirudha,Chennai Super Kings
6480217b1a843db3d31783e5,df064e1a,Ravi Bishnoi,Lucknow Super Giants
6480217eaee80fc86bcd8693,1dc12ab9,SK Raina,Chennai Super Kings
6480217bc6b8633aa8d94efe,c38d3503,Shivam Mavi,Kolkata Knight Riders
6480217bb84475a8cefae289,f1f99156,TH David,Royal Challengers Bangalore
64802184f5ce2c04c5c9b759,a4cc73aa,SV Samson,Rajasthan Royals
6480218429a49e1d6067a1ab,3355b542,F du Plessis,Chennai Super Kings
6480217cb24ac92459ff510f,8d2c70ad,Kuldeep Yadav,Delhi Capitals
6480217ce56e4cecb8ca1122,df064e1a,Ravi Bishnoi,Lucknow Super Giants
6480217a9b6fa53180970a07,2f9d0389,LH Ferguson,Kolkata Knight Riders
64802181d5ef9b3cec4b0c52,6b71e6cf,KC Sangakkara,Deccan Chargers
6480217aaa66404df524b792,1abb78f8,SN Thakur,Chennai Super Kings
